ID Geography,Geography,Population (2018)
05000US18157,"Tippecanoe County, IN",193048
05000US18141,"St. Joseph County, IN",270771
05000US48339,"Montgomery County, TX",590925
05000US13063,"Clayton County, GA",289615
05000US18127,"Porter County, IN",169594
05000US18109,"Morgan County, IN",70116
05000US48347,"Nacogdoches County, TX",65711
05000US13067,"Cobb County, GA",756865
05000US51121,"Montgomery County, VA",98985
05000US18105,"Monroe County, IN",146917
05000US18097,"Marion County, IN",954670
05000US48355,"Nueces County, TX",362265
05000US13073,"Columbia County, GA",154291
05000US18095,"Madison County, IN",129641
05000US18091,"LaPorte County, IN",110007
05000US48361,"Orange County, TX",83572
05000US13077,"Coweta County, GA",145864
05000US51107,"Loudoun County, VA",406850
05000US18089,"Lake County, IN",484411
05000US18085,"Kosciusko County, IN",79344
05000US48367,"Parker County, TX",138371
05000US13089,"DeKalb County, GA",756558
05000US18081,"Johnson County, IN",156225
05000US18067,"Howard County, IN",82366
05000US48375,"Potter County, TX",119648
05000US13095,"Dougherty County, GA",91243
05000US51095,"James City County, VA",76397
05000US18063,"Hendricks County, IN",167009
05000US18059,"Hancock County, IN",76351
05000US48381,"Randall County, TX",136271
05000US13097,"Douglas County, GA",145331
05000US18057,"Hamilton County, IN",330086
05000US18053,"Grant County, IN",65936
05000US48397,"Rockwall County, TX",100657
05000US13113,"Fayette County, GA",113459
05000US51087,"Henrico County, VA",329261
05000US18043,"Floyd County, IN",77781
05000US18039,"Elkhart County, IN",205560
05000US48409,"San Patricio County, TX",66893
05000US13115,"Floyd County, GA",97927
05000US18035,"Delaware County, IN",114772
05000US18019,"Clark County, IN",117360
05000US48423,"Smith County, TX",230221
05000US13117,"Forsyth County, GA",236612
05000US51085,"Hanover County, VA",107239
05000US18011,"Boone County, IN",66999
05000US18005,"Bartholomew County, IN",82753
05000US18003,"Allen County, IN",375351
05000US13121,"Fulton County, GA",1050114
05000US48439,"Tarrant County, TX",2084931
05000US17201,"Winnebago County, IL",284081
05000US17199,"Williamson County, IL",67056
05000US13127,"Glynn County, GA",85219
05000US51069,"Frederick County, VA",88355
05000US48441,"Taylor County, TX",137640
05000US17197,"Will County, IL",692310
05000US17183,"Vermilion County, IL",76806
05000US13135,"Gwinnett County, GA",927781
05000US48451,"Tom Green County, TX",118189
05000US17179,"Tazewell County, IL",132328
05000US17167,"Sangamon County, IL",195348
05000US13139,"Hall County, GA",202148
05000US51061,"Fauquier County, VA",70675
05000US48453,"Travis County, TX",1248743
05000US17163,"St. Clair County, IL",261059
05000US17161,"Rock Island County, IL",143477
05000US13151,"Henry County, GA",230220
05000US48469,"Victoria County, TX",92035
05000US17143,"Peoria County, IL",180621
05000US17119,"Madison County, IL",264461
05000US13153,"Houston County, GA",155469
05000US48471,"Walker County, TX",72480
05000US13157,"Jackson County, GA",70422
05000US51059,"Fairfax County, VA",1150795
05000US17115,"Macon County, IL",104712
05000US17113,"McLean County, IL",172828
05000US48479,"Webb County, TX",275910
05000US17111,"McHenry County, IL",308570
05000US17099,"LaSalle County, IL",109430
05000US13185,"Lowndes County, GA",116321
05000US51041,"Chesterfield County, VA",348556
05000US48485,"Wichita County, TX",132064
05000US17097,"Lake County, IL",700832
05000US17093,"Kendall County, IL",127915
05000US13215,"Muscogee County, GA",194160
05000US48491,"Williamson County, TX",566719
05000US17091,"Kankakee County, IL",110024
05000US48497,"Wise County, TX",68305
05000US13217,"Newton County, GA",109541
05000US51019,"Bedford County, VA",78747
05000US17089,"Kane County, IL",534216
05000US17043,"DuPage County, IL",928589
05000US49005,"Cache County, UT",127068
05000US13223,"Paulding County, GA",164044
05000US17037,"DeKalb County, IL",104143
05000US17031,"Cook County, IL",5180493
05000US49011,"Davis County, UT",351713
05000US13245,"Richmond County, GA",201554
05000US51015,"Augusta County, VA",75457
05000US17019,"Champaign County, IL",209983
05000US17001,"Adams County, IL",65691
05000US49035,"Salt Lake County, UT",1152633
05000US13247,"Rockdale County, GA",90594
05000US16083,"Twin Falls County, ID",86081
05000US13255,"Spalding County, GA",66100
05000US49045,"Tooele County, UT",69907
05000US16055,"Kootenai County, ID",161505
05000US16027,"Canyon County, ID",223499
05000US13285,"Troup County, GA",70034
05000US51013,"Arlington County, VA",237521
05000US49049,"Utah County, UT",622213
05000US16019,"Bonneville County, ID",116854
05000US16005,"Bannock County, ID",87138
05000US13295,"Walker County, GA",69410
05000US49053,"Washington County, UT",171700
05000US16001,"Ada County, ID",469966
05000US15009,"Maui County, HI",167218
05000US13297,"Walton County, GA",93503
05000US51003,"Albemarle County, VA",108718
05000US49057,"Weber County, UT",256359
05000US15007,"Kauai County, HI",72133
05000US15003,"Honolulu County, HI",980080
05000US13313,"Whitfield County, GA",104062
05000US50007,"Chittenden County, VT",164572
05000US15001,"Hawaii County, HI",200983
05000US13179,"Liberty County, GA",
05000US21195,"Pike County, KY",
