ID Geography,Geography,Population (2018)
05000US55117,"Sheboygan County, WI",115456
05000US37001,"Alamance County, NC",166436
05000US41071,"Yamhill County, OR",107002
05000US05045,"Faulkner County, AR",124806
05000US36119,"Westchester County, NY",967612
05000US36117,"Wayne County, NY",90064
05000US42001,"Adams County, PA",102811
05000US36113,"Warren County, NY",64265
05000US05051,"Garland County, AR",99154
05000US55109,"St. Croix County, WI",89694
05000US36111,"Ulster County, NY",178599
05000US42003,"Allegheny County, PA",1218452
05000US05069,"Jefferson County, AR",68114
05000US36109,"Tompkins County, NY",102793
05000US36105,"Sullivan County, NY",75498
05000US42005,"Armstrong County, PA",65263
05000US36103,"Suffolk County, NY",1481093
05000US05085,"Lonoke County, AR",73657
05000US55105,"Rock County, WI",163129
05000US36101,"Steuben County, NY",95796
05000US42007,"Beaver County, PA",164742
05000US05119,"Pulaski County, AR",392680
05000US36093,"Schenectady County, NY",155350
05000US36091,"Saratoga County, NY",230163
05000US42011,"Berks County, PA",420152
05000US36089,"St. Lawrence County, NY",108047
05000US05125,"Saline County, AR",121421
05000US55101,"Racine County, WI",196584
05000US36087,"Rockland County, NY",325695
05000US42013,"Blair County, PA",122492
05000US05131,"Sebastian County, AR",127753
05000US36085,"Richmond County, NY",476179
05000US36083,"Rensselaer County, NY",159442
05000US42017,"Bucks County, PA",628195
05000US36081,"Queens County, NY",2278906
05000US05143,"Washington County, AR",236961
05000US55097,"Portage County, WI",70942
05000US36079,"Putnam County, NY",98892
05000US42019,"Butler County, PA",187888
05000US05145,"White County, AR",78727
05000US36075,"Oswego County, NY",117898
05000US36071,"Orange County, NY",381951
05000US42021,"Cambria County, PA",131730
05000US36069,"Ontario County, NY",109864
05000US06001,"Alameda County, CA",1666753
05000US55089,"Ozaukee County, WI",89147
05000US36067,"Onondaga County, NY",461809
05000US42025,"Carbon County, PA",64227
05000US06007,"Butte County, CA",231256
05000US36065,"Oneida County, NY",229577
05000US36063,"Niagara County, NY",210433
05000US42027,"Centre County, PA",162805
05000US36061,"New York County, NY",1628701
05000US06013,"Contra Costa County, CA",1150215
05000US55087,"Outagamie County, WI",187365
05000US36059,"Nassau County, NY",1358343
05000US42029,"Chester County, PA",522046
05000US06017,"El Dorado County, CA",190678
05000US36055,"Monroe County, NY",742474
05000US36053,"Madison County, NY",70795
05000US42033,"Clearfield County, PA",79388
05000US36051,"Livingston County, NY",63227
05000US06019,"Fresno County, CA",994400
05000US55079,"Milwaukee County, WI",948201
05000US36047,"Kings County, NY",2582830
05000US42037,"Columbia County, PA",65456
05000US06023,"Humboldt County, CA",136373
05000US36045,"Jefferson County, NY",111755
05000US36029,"Erie County, NY",919719
05000US42039,"Crawford County, PA",85063
05000US36027,"Dutchess County, NY",293718
05000US06025,"Imperial County, CA",181827
05000US55073,"Marathon County, WI",135428
05000US36019,"Clinton County, NY",80695
05000US42041,"Cumberland County, PA",251423
05000US06029,"Kern County, CA",896764
05000US36015,"Chemung County, NY",84254
05000US36013,"Chautauqua County, NY",127939
05000US42043,"Dauphin County, PA",277097
05000US36011,"Cayuga County, NY",77145
05000US06031,"Kings County, CA",151366
05000US55071,"Manitowoc County, WI",79074
05000US36009,"Cattaraugus County, NY",76840
05000US42045,"Delaware County, PA",564751
05000US06033,"Lake County, CA",64382
05000US36007,"Broome County, NY",191659
05000US36005,"Bronx County, NY",1432132
05000US42049,"Erie County, PA",272061
05000US36001,"Albany County, NY",307117
05000US06037,"Los Angeles County, CA",10105518
05000US55063,"La Crosse County, WI",118230
05000US35061,"Valencia County, NM",76456
05000US42051,"Fayette County, PA",130441
05000US06039,"Madera County, CA",157672
05000US35049,"Santa Fe County, NM",150056
05000US35045,"San Juan County, NM",125043
05000US42055,"Franklin County, PA",154835
05000US35043,"Sandoval County, NM",145179
05000US06041,"Marin County, CA",259666
05000US55059,"Kenosha County, WI",169290
05000US35035,"Otero County, NM",66781
05000US42063,"Indiana County, PA",84501
05000US06045,"Mendocino County, CA",87606
05000US35031,"McKinley County, NM",72290
05000US35025,"Lea County, NM",69611
05000US42069,"Lackawanna County, PA",210793
05000US35013,"Doña Ana County, NM",217522
05000US06047,"Merced County, CA",274765
05000US55055,"Jefferson County, WI",85129
05000US35005,"Chaves County, NM",64689
05000US42071,"Lancaster County, PA",543557
05000US06053,"Monterey County, CA",435594
05000US35001,"Bernalillo County, NM",678701
05000US34041,"Warren County, NJ",105779
05000US42073,"Lawrence County, PA",86184
05000US34039,"Union County, NJ",558067
05000US06055,"Napa County, CA",139417
05000US55039,"Fond du Lac County, WI",103066
05000US34037,"Sussex County, NJ",140799
05000US42075,"Lebanon County, PA",141314
05000US06057,"Nevada County, CA",99696
05000US34035,"Somerset County, NJ",331164
05000US34033,"Salem County, NJ",62607
05000US42077,"Lehigh County, PA",368100
05000US34031,"Passaic County, NJ",503310
05000US06059,"Orange County, CA",3185968
05000US55035,"Eau Claire County, WI",104534
05000US34029,"Ocean County, NJ",601651
05000US42079,"Luzerne County, PA",317646
05000US06061,"Placer County, CA",393149
05000US34027,"Morris County, NJ",494228
05000US34025,"Monmouth County, NJ",621354
05000US42081,"Lycoming County, PA",113664
05000US34023,"Middlesex County, NJ",829685
05000US06065,"Riverside County, CA",2450758
05000US55027,"Dodge County, WI",87847
05000US34021,"Mercer County, NJ",369811
05000US42085,"Mercer County, PA",110683
05000US06067,"Sacramento County, CA",1540975
05000US34019,"Hunterdon County, NJ",124714
05000US34017,"Hudson County, NJ",676061
05000US42089,"Monroe County, PA",169507
05000US34015,"Gloucester County, NJ",291408
05000US06071,"San Bernardino County, CA",2171603
05000US55025,"Dane County, WI",542364
05000US34013,"Essex County, NJ",799767
05000US42091,"Montgomery County, PA",828604
05000US06073,"San Diego County, CA",3343364
05000US34011,"Cumberland County, NJ",150972
05000US34009,"Cape May County, NJ",92560
05000US42095,"Northampton County, PA",304807
05000US34007,"Camden County, NJ",507078
05000US06075,"San Francisco County, CA",883305
05000US55009,"Brown County, WI",263378
05000US34005,"Burlington County, NJ",445384
05000US42097,"Northumberland County, PA",91083
05000US06077,"San Joaquin County, CA",752660
05000US34003,"Bergen County, NJ",936692
05000US34001,"Atlantic County, NJ",265429
05000US42101,"Philadelphia County, PA",1584138
05000US33017,"Strafford County, NH",130090
05000US06079,"San Luis Obispo County, CA",284010
05000US54107,"Wood County, WV",84203
05000US33015,"Rockingham County, NH",309176
05000US42107,"Schuylkill County, PA",142067
05000US06081,"San Mateo County, CA",769545
05000US33013,"Merrimack County, NH",151132
05000US33011,"Hillsborough County, NH",415247
05000US42111,"Somerset County, PA",73952
05000US33009,"Grafton County, NH",89786
05000US06083,"Santa Barbara County, CA",446527
05000US54081,"Raleigh County, WV",74254
05000US33005,"Cheshire County, NH",76493
05000US42125,"Washington County, PA",207346
05000US06085,"Santa Clara County, CA",1937570
05000US32031,"Washoe County, NV",465735
05000US32003,"Clark County, NV",2231647
05000US42129,"Westmoreland County, PA",350611
05000US31153,"Sarpy County, NE",184459
05000US06087,"Santa Cruz County, CA",274255
05000US54061,"Monongalia County, WV",106420
05000US31109,"Lancaster County, NE",317272
05000US42133,"York County, PA",448273
05000US06089,"Shasta County, CA",180040
05000US31055,"Douglas County, NE",566880
05000US30111,"Yellowstone County, MT",160137
05000US44003,"Kent County, RI",163861
05000US30063,"Missoula County, MT",118791
05000US06095,"Solano County, CA",446610
05000US54039,"Kanawha County, WV",180454
05000US30049,"Lewis and Clark County, MT",68700
05000US44005,"Newport County, RI",82542
05000US06097,"Sonoma County, CA",499942
05000US30031,"Gallatin County, MT",111876
05000US30029,"Flathead County, MT",102106
05000US44007,"Providence County, RI",636084
05000US30013,"Cascade County, MT",81643
05000US06099,"Stanislaus County, CA",549815
05000US54033,"Harrison County, WV",67554
05000US29510,"St. Louis city, MO",302838
05000US44009,"Washington County, RI",126179
05000US06101,"Sutter County, CA",96807
05000US29189,"St. Louis County, MO",996945
05000US29187,"St. Francois County, MO",66692
05000US45003,"Aiken County, SC",169401
05000US29183,"St. Charles County, MO",399182
